loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,run_name
21.685,1218.706298828125,9.627092846270929e-05,0.11428571428571428,50,,,,,,,,,,improved_en_bn_filtered_synthetic
11.6503,199.5981903076172,9.246575342465755e-05,0.22857142857142856,100,,,,,,,,,,improved_en_bn_filtered_synthetic
8.6788,54.46086502075195,8.866057838660579e-05,0.34285714285714286,150,,,,,,,,,,improved_en_bn_filtered_synthetic
6.6693,3.8453171253204346,8.485540334855405e-05,0.45714285714285713,200,,,,,,,,,,improved_en_bn_filtered_synthetic
5.5958,3.478196859359741,8.105022831050229e-05,0.5714285714285714,250,,,,,,,,,,improved_en_bn_filtered_synthetic
5.2084,2.74361515045166,7.724505327245053e-05,0.6857142857142857,300,,,,,,,,,,improved_en_bn_filtered_synthetic
4.8983,3.8321714401245117,7.343987823439878e-05,0.8,350,,,,,,,,,,improved_en_bn_filtered_synthetic
4.7941,2.8742051124572754,6.963470319634704e-05,0.9142857142857143,400,,,,,,,,,,improved_en_bn_filtered_synthetic
,,,1.0,438,3.332256555557251,5.8692,85.19,21.298,,,,,,improved_en_bn_filtered_synthetic
4.6688,4.213720798492432,6.582952815829528e-05,1.0274285714285714,450,,,,,,,,,,improved_en_bn_filtered_synthetic
4.573,2.580794334411621,6.202435312024354e-05,1.1417142857142857,500,,,,,,,,,,improved_en_bn_filtered_synthetic
4.4661,2.815265417098999,5.821917808219178e-05,1.256,550,,,,,,,,,,improved_en_bn_filtered_synthetic
4.4164,2.7830681800842285,5.441400304414004e-05,1.3702857142857143,600,,,,,,,,,,improved_en_bn_filtered_synthetic
4.3338,3.197901725769043,5.060882800608828e-05,1.4845714285714287,650,,,,,,,,,,improved_en_bn_filtered_synthetic
4.2997,3.16245174407959,4.680365296803653e-05,1.5988571428571428,700,,,,,,,,,,improved_en_bn_filtered_synthetic
4.2853,3.1745967864990234,4.299847792998478e-05,1.713142857142857,750,,,,,,,,,,improved_en_bn_filtered_synthetic
4.2405,22.724519729614258,3.9193302891933034e-05,1.8274285714285714,800,,,,,,,,,,improved_en_bn_filtered_synthetic
4.2862,2.790759325027466,3.538812785388128e-05,1.9417142857142857,850,,,,,,,,,,improved_en_bn_filtered_synthetic
,,,2.0,876,3.1180615425109863,5.9212,84.443,21.111,,,,,,improved_en_bn_filtered_synthetic
4.1962,2.451233148574829,3.158295281582953e-05,2.0548571428571427,900,,,,,,,,,,improved_en_bn_filtered_synthetic
4.1778,2.7128167152404785,2.777777777777778e-05,2.169142857142857,950,,,,,,,,,,improved_en_bn_filtered_synthetic
4.1634,2.9252748489379883,2.3972602739726026e-05,2.2834285714285714,1000,,,,,,,,,,improved_en_bn_filtered_synthetic
4.1596,2.4743270874023438,2.0167427701674277e-05,2.3977142857142857,1050,,,,,,,,,,improved_en_bn_filtered_synthetic
4.1888,2.5001351833343506,1.6362252663622528e-05,2.512,1100,,,,,,,,,,improved_en_bn_filtered_synthetic
4.146,2.945385456085205,1.2557077625570777e-05,2.6262857142857143,1150,,,,,,,,,,improved_en_bn_filtered_synthetic
4.1618,2.012791156768799,8.751902587519026e-06,2.7405714285714287,1200,,,,,,,,,,improved_en_bn_filtered_synthetic
4.1761,2.3976426124572754,4.946727549467275e-06,2.854857142857143,1250,,,,,,,,,,improved_en_bn_filtered_synthetic
4.117,2.692248821258545,1.1415525114155251e-06,2.9691428571428573,1300,,,,,,,,,,improved_en_bn_filtered_synthetic
,,,3.0,1314,3.0680387020111084,6.0101,83.194,20.798,,,,,,improved_en_bn_filtered_synthetic
,,,3.0,1314,,,,,931.9933,22.532,1.41,816030138163200.0,5.609540384835485,improved_en_bn_filtered_synthetic
,,,3.0,1314,3.0680387020111084,6.1801,80.905,20.226,,,,,,improved_en_bn_filtered_synthetic
